word,article,raw
Poster,das,"das Poster, -"
Postkarte,die,"die Postkarte, -n"
Postleit-,die,die Postleit-
zahl,,"zahl, -en"
Praktikum,das,"das Praktikum, -a"
praktisch,,praktisch
Praxis,die,"die Praxis, -en"
Preis,der,"der Preis, -e"
preiswert,,preiswert
privat,,privat
pro,,pro
probieren,,"probieren,"
Problem,das,"das Problem, -e"
Produkt,das,"das Produkt, -e"
Programm,das,"das Programm, -e"
Projekt,das,"das Projekt, -e"
Prospekt,der,"der Prospekt, -e"
prüfen,,"prüfen, prüft,"
Prüfung,die,"die Prüfung, -en"
Pullover,der,"der Pullover, -"
pünktlich,,pünktlich
putzen,,"putzen, putzt,"
Qualität,die,"die Qualität, -en"
Quiz,das,das Quiz (Sg.)
Radio,das,"das Radio, -s"
raten,,"raten, rät,"
Rathaus,das,"das Rathaus, ¨-er"
Rätsel,das,"das Rätsel, -"
rauchen,,"rauchen, raucht,"
Raum,der,"der Raum, ¨-e"
rechnen,,"rechnen, rechnet,"
Rechnung,die,"die Rechnung, -en"
recht haben,,"recht haben,"
hatte recht,,"hatte recht,"
rechts,,rechts
reden,,"reden, redet,"
Regen,der,der Regen (Sg.)
regnen,,"regnen, regnet,"
reich,,reich
Reifen,der,"der Reifen, -"
Reihe,die,"die Reihe, -n"
Reinigung,die,"die Reinigung, -en"
Reis,der,der Reis (Sg.)
Reise,die,"die Reise, -n"
Reisebüro,das,"das Reisebüro, -s"
Reiseführer,der,"der Reiseführer, -"
reisen,,"reisen, reist,"
reiten,,"reiten, reitet,"
renovieren,,"renovieren,"
Rentner,der,"der Rentner, - /die Rentnerin, -nen"
Reparatur,die,"die Reparatur, -en"
reparieren,,"reparieren,"
reservieren,,"reservieren,"
Rest,der,"der Rest, -e"
Restaurant,das,"das Restaurant, -s"
Rezept,das,"das Rezept, -e"
Rezeption,die,"die Rezeption, en"
richtig,,richtig
riechen,,"riechen, riecht,"
Rind,das,das Rind
Ring,der,"der Ring, -e"
Rock,der,"der Rock, ¨-e"
romantisch,,romantisch
Rose,die,"die Rose, -n"
Rücken,der,"der Rücken, -"
Rucksack,der,"der Rucksack, ¨-e"
rufen,,"rufen, ruft,"
Ruhe,die,die Ruhe (Sg.)
ruhig,,ruhig
rund,,rund
Rundgang,der,"der Rundgang, ¨-e"
Sache,die,"die Sache, -n"
Saft,der,"der Saft, ¨-e"
sagen,,"sagen, sagt,"
Salat,der,"der Salat, -e"
Salz,das,"das Salz, -e"
sammeln,,"sammeln,"
Satz,der,"der Satz, ¨-e"
sauber,,sauber
sauer,,sauer
schade,,schade
schädlich,,schädlich
schaffen,,"schaffen, schafft,"
Schalter,der,"der Schalter, -"
scharf,,scharf
scheinen,,"scheinen, scheint,"
schenken,,"schenken,"
Schere,die,"die Schere, -n"
schicken,,"schicken, schickt,"
Schiff,das,"das Schiff, -e"
Schild,das,"das Schild, -er"
schimpfen,,"schimpfen,"
Schirm,der,der Schirm
schlafen,,"schlafen, schläft,"
Schlafzimmer,das,"das Schlafzimmer,"
schlecht,,schlecht
schließen,,"schließen,"
schlimm,,schlimm
Schloss,das,"das Schloss, ¨-er"
Schluss,der,"der Schluss, ¨-e"
Schlüssel,der,"der Schlüssel, -"
schmecken,,"schmecken,"
Schmerz,der,"der Schmerz, -en"
schmutzig,,schmutzig
Schnee,der,der Schnee (Sg.)
schneiden,,"schneiden (sich),"
schneien,,"schneien,"
schnell,,schnell
Schokolade,die,die Schokolade
schon,,schon
schön,,schön
Schrank,der,"der Schrank, ¨-e"
schrecklich,,schrecklich
schreiben,,"schreiben,"
schriftlich,,schriftlich
Schuh,der,"der Schuh, -e"
Schule,die,"die Schule, -n"
Schüler,der,"der Schüler, - /die Schülerin, -nen"
schwach,,schwach
schwanger,,schwanger
Schwein,das,"das Schwein, -e"
schwer,,schwer
schwierig,,schwierig
Schwimm-,das,das Schwimm-
bad,,"bad, ¨-er"
schwimmen,,"schwimmen,"
See,der,"der See, -n"
See,die,die See (Sg)
sehen,,"sehen, sieht,"
Sehens-,die,die Sehens-
würdigkeit,,"würdigkeit, -en"
sehr,,sehr
Seife,die,"die Seife, -n"
an sein / aus sein,,an sein / aus sein
auf sein,,auf sein
